,food,ingredients,instructions,ingredients_clean,instructions_clean,ingredients_instructions,ingredients_instructions_clean
88,Grilled Liempo with Barbecue Sauce,"1 lb. pork belly sliced, 1 cup barbecue sauce, 5 tablespoons Knorr Liquid Seasoning, 3 pieces calamansi, 2 tablespoons canola oil, ½ teaspoon ground black pepper","Combine marinade ingredients in a large bowl. Stir until well blended.
Add pork belly. Make sure that the pork gets coated with the marinade. Cover the bowl and marinate for at least 3 hours. Note: the longer the time, the more flavorful the mixture gets.
Heat-up the grill. Grill one side of the pork for 2 minutes. Baste the top part by brushing the remaining marinade. Turn the pork belly over and do the same procedure on the opposite side. Note: Continue this step until the pork is cooked completely.
Transfer to a serving plate. Serve with warm rice along with your favorite condiments. Share and enjoy!",pork belly barbecue sauce knorr liquid seasoning calamansi canola oil,combine stir blend coat cover marinate note get baste brush remain turn note cook transfer serve,"1 lb. pork belly sliced, 1 cup barbecue sauce, 5 tablespoons Knorr Liquid Seasoning, 3 pieces calamansi, 2 tablespoons canola oil, ½ teaspoon ground black pepper Combine marinade ingredients in a large bowl. Stir until well blended.
Add pork belly. Make sure that the pork gets coated with the marinade. Cover the bowl and marinate for at least 3 hours. Note: the longer the time, the more flavorful the mixture gets.
Heat-up the grill. Grill one side of the pork for 2 minutes. Baste the top part by brushing the remaining marinade. Turn the pork belly over and do the same procedure on the opposite side. Note: Continue this step until the pork is cooked completely.
Transfer to a serving plate. Serve with warm rice along with your favorite condiments. Share and enjoy!",pork belly barbecue sauce knorr liquid seasoning calamansi canola oil combine stir blend coat cover marinate note get baste brush remain turn note cook transfer serve
89,Beef Salpicao,"1 ½ lbs. beef tenderloin cubed, 1 head garlic, 1 teaspoon salt, 3 tablespoons butter, ¼ cup olive oil, ½ teaspoon ground black pepper, 5 tablespoons Worcestershire Sauce, 2 tablespoons oyster sauce","Pound garlic using a mortar and pestle tool.
1 head garlic
Combine garlic and olive oil in a pan. Turn on your stove and set the heat to between low and medium. Cook garlic while stirring until it turns golden brown.
¼ cup olive oil
Remove the fried garlic and oil from the pan and place these in separate bowls. Set aside.
1 head garlic, ¼ cup olive oil
Combine beef, salt, ground black pepper, olive oil, and Worcestershire sauce. Mix well. Let it stay for 10 minutes.
1 ½ lbs. beef tenderloin, 1 teaspoon salt, ½ teaspoon ground black pepper, 5 tablespoons Worcestershire Sauce, ¼ cup olive oil
Heat a clean pan. Once the pan gets really hot, sear the marinated beef until the sides turn brown.
1 ½ lbs. beef tenderloin
Add oyster sauce and a bit of butter. Note: save the remaning butter for later. Continue cooking for 3 minutes.
2 tablespoons oyster sauce
Add remaining butter along with the fried garlic and parsley. Continue cooking until the liquid evaporates completely.
3 tablespoons butter
Transfer to a serving plate. Serve with rice. Share and enjoy!",beef head garlic teaspoon salt butter olive oil teaspoon ground pepper worcestershire sauce oyster sauce,turn stir turn remove fry place mix let stay get sear turn save remane cook remain fry cook evaporate serve,"1 ½ lbs. beef tenderloin cubed, 1 head garlic, 1 teaspoon salt, 3 tablespoons butter, ¼ cup olive oil, ½ teaspoon ground black pepper, 5 tablespoons Worcestershire Sauce, 2 tablespoons oyster sauce Pound garlic using a mortar and pestle tool.
1 head garlic
Combine garlic and olive oil in a pan. Turn on your stove and set the heat to between low and medium. Cook garlic while stirring until it turns golden brown.
¼ cup olive oil
Remove the fried garlic and oil from the pan and place these in separate bowls. Set aside.
1 head garlic, ¼ cup olive oil
Combine beef, salt, ground black pepper, olive oil, and Worcestershire sauce. Mix well. Let it stay for 10 minutes.
1 ½ lbs. beef tenderloin, 1 teaspoon salt, ½ teaspoon ground black pepper, 5 tablespoons Worcestershire Sauce, ¼ cup olive oil
Heat a clean pan. Once the pan gets really hot, sear the marinated beef until the sides turn brown.
1 ½ lbs. beef tenderloin
Add oyster sauce and a bit of butter. Note: save the remaning butter for later. Continue cooking for 3 minutes.
2 tablespoons oyster sauce
Add remaining butter along with the fried garlic and parsley. Continue cooking until the liquid evaporates completely.
3 tablespoons butter
Transfer to a serving plate. Serve with rice. Share and enjoy!",beef head garlic teaspoon salt butter olive oil teaspoon ground pepper worcestershire sauce oyster sauce turn stir turn remove fry place mix let stay get sear turn save remane cook remain fry cook evaporate serve
90,Patotin Recipe,"1 whole duck, 1 piece Knorr Chicken Cube, 1 cup banana ketchup, ¾ cup brown sugar, 3 cups lemon lime soda, 1 cup pineapple juice, 3 pieces dried bay leaves, ½ teaspoon black pepper cracked, ½ cup soy sauce, 1 piece onion chopped, 1 ½ cups water, 4 tablespoons cooking oil, 1 piece carrot sliced, 1 ½ cups cauliflower florets, 1 ½ cup broccoli florets, 12 pieces long green beans","Rub salt all over the duck. Let it stay for 5 minutes.
Heat cooking oil in a pan. Fry the duck for 3 minutes per side. Remove the duck from the pan. Set aside.
Using the remaining oil, saute onion and garlic.
Once the onion softens, pour soy sauce, pineapple juice, and lemon lime soda. Cover the pan and let the liquid boil.
Add Knorr Chicken Cube, dried bay leaves, and cracked peppercorn. Stir.
Add the fried duck back into the pan. Boil for 35 minutes per side.
Add brown sugar and banana ketchup. Stir. Continue cooking until the sauce thickens to your desired consistency.
Steam the vegetables for 5 minutes.
Arrange the duck on a serving plate and put the steamed vegetables on the side as garnish. Top with sauce. Serve and enjoy!",duck knorr chicken cube banana ketchup sugar lemon lime soda pineapple juice bay teaspoon pepper soy sauce onion water oil cauliflower floret broccoli floret bean,rub let stay remove remain saute soften pour cover let dry crack stir fry stir cook thicken desire steam arrange serve,"1 whole duck, 1 piece Knorr Chicken Cube, 1 cup banana ketchup, ¾ cup brown sugar, 3 cups lemon lime soda, 1 cup pineapple juice, 3 pieces dried bay leaves, ½ teaspoon black pepper cracked, ½ cup soy sauce, 1 piece onion chopped, 1 ½ cups water, 4 tablespoons cooking oil, 1 piece carrot sliced, 1 ½ cups cauliflower florets, 1 ½ cup broccoli florets, 12 pieces long green beans Rub salt all over the duck. Let it stay for 5 minutes.
Heat cooking oil in a pan. Fry the duck for 3 minutes per side. Remove the duck from the pan. Set aside.
Using the remaining oil, saute onion and garlic.
Once the onion softens, pour soy sauce, pineapple juice, and lemon lime soda. Cover the pan and let the liquid boil.
Add Knorr Chicken Cube, dried bay leaves, and cracked peppercorn. Stir.
Add the fried duck back into the pan. Boil for 35 minutes per side.
Add brown sugar and banana ketchup. Stir. Continue cooking until the sauce thickens to your desired consistency.
Steam the vegetables for 5 minutes.
Arrange the duck on a serving plate and put the steamed vegetables on the side as garnish. Top with sauce. Serve and enjoy!",duck knorr chicken cube banana ketchup sugar lemon lime soda pineapple juice bay teaspoon pepper soy sauce onion water oil cauliflower floret broccoli floret bean rub let stay remove remain saute soften pour cover let dry crack stir fry stir cook thicken desire steam arrange serve
91,Pancit Chami Tamis Anghang Recipe,"1 lb. fresh noodles, 4 ounces pork sliced, 2 ounces chicken sliced, 3 ounces pork liver sliced, 2 ounces pork fat, 3 tablespoons soy sauce, 3 tablespoons oyster sauce, 2 tablespoons brown sugar, 1 teaspoon crushed red pepper, 1 piece onion chopped, 4 cloves garlic chopped, ½ head cabbage sliced, ¾ cup carrot Julienne, 2 teaspoons cornstarch, 8 pieces quail eggs boiled, 1 cup water","Heat wok or pan. Sear pork fat until enough oil is extracted.
Saute onion and garlic until the onion softens.
Add pork, chicken, and liver. Saute until the outer parts turn light brown.
Add soy sauce, oyster sauce, and water. Cover the wok. Let the liquid boil.
Add crushed red pepper and brown sugar. Stir. Continue boiling for 5 minutes.
Add fresh noodles. Toss.
Put the carrot and cabbage into the wok. Continue tossing until all ingredients are well blended. Cover and cook for 2 minutes.
Season with ground black pepper and pour cornstarch slurry (2 teaspoons of cornstarch + 2 teaspoons of soy sauce + ¼ cup water). Toss.Add boiled quail eggs. Transfer to a serving plate. Serve! Share and enjoy!",noodle pork chicken pork liver pork fat soy sauce oyster sauce sugar pepper onion clove garlic head cabbage teaspoon cornstarch quail egg water,extract soften turn cover let crush stir boil toss toss blend cover cook pour toss boil transfer serve,"1 lb. fresh noodles, 4 ounces pork sliced, 2 ounces chicken sliced, 3 ounces pork liver sliced, 2 ounces pork fat, 3 tablespoons soy sauce, 3 tablespoons oyster sauce, 2 tablespoons brown sugar, 1 teaspoon crushed red pepper, 1 piece onion chopped, 4 cloves garlic chopped, ½ head cabbage sliced, ¾ cup carrot Julienne, 2 teaspoons cornstarch, 8 pieces quail eggs boiled, 1 cup water Heat wok or pan. Sear pork fat until enough oil is extracted.
Saute onion and garlic until the onion softens.
Add pork, chicken, and liver. Saute until the outer parts turn light brown.
Add soy sauce, oyster sauce, and water. Cover the wok. Let the liquid boil.
Add crushed red pepper and brown sugar. Stir. Continue boiling for 5 minutes.
Add fresh noodles. Toss.
Put the carrot and cabbage into the wok. Continue tossing until all ingredients are well blended. Cover and cook for 2 minutes.
Season with ground black pepper and pour cornstarch slurry (2 teaspoons of cornstarch + 2 teaspoons of soy sauce + ¼ cup water). Toss.Add boiled quail eggs. Transfer to a serving plate. Serve! Share and enjoy!",noodle pork chicken pork liver pork fat soy sauce oyster sauce sugar pepper onion clove garlic head cabbage teaspoon cornstarch quail egg water extract soften turn cover let crush stir boil toss toss blend cover cook pour toss boil transfer serve
92,Sinarsahang Manok,"1 ½ lbs. chicken cut into serving pieces, 1 piece bell pepper Julienne, 1 piece Knorr Chicken Cube, ½ cup green peas, 6 pieces long green beans sliced, 1 piece onion chopped, 3 cloves garlic chopped, 1 piece tomato diced, 3 tablespoons soy sauce, 8 ounces tomato sauce, 1 ½ cups water, ½ cup tomato ketchup, ½ teaspoon white sugar, Salt and ground black pepper to taste, ¼ cup cooking oil","Heat 2 tablespoons of oil in a pan. Sauté the bell pepper, green peas, and long green beans for 45 seconds. Remove from the pan and set aside.
Add remaining oil. Once oil becomes hot, pan-fry chicken pieces for 3 minutes per side. Remove chicken from the pan and place on a clean plate. Set aside.
Sauté garlic, onion, and tomato using the remaining oil. Add soy sauce, tomato sauce, and water once the onion softens. Let it boil.
Add Knorr chicken cube and then put the chicken piece back into the pan. Cover the pan and continue cooking the chicken using medium heat for 15 minutes. Remove the cover and cook until the sauce becomes thick.
Add back the stir-fried vegetables.
Season with sugar, salt, and ground black pepper. Transfer to a serving plate. Serve!",chicken bell pepper julienne knorr chicken cube pea bean onion clove garlic tomato soy sauce tomato sauce water tomato ketchup teaspoon sugar salt ground pepper cooking oil,sauté remove remain remove remain soften let boil cover cook remove cook stir fry transfer serve,"1 ½ lbs. chicken cut into serving pieces, 1 piece bell pepper Julienne, 1 piece Knorr Chicken Cube, ½ cup green peas, 6 pieces long green beans sliced, 1 piece onion chopped, 3 cloves garlic chopped, 1 piece tomato diced, 3 tablespoons soy sauce, 8 ounces tomato sauce, 1 ½ cups water, ½ cup tomato ketchup, ½ teaspoon white sugar, Salt and ground black pepper to taste, ¼ cup cooking oil Heat 2 tablespoons of oil in a pan. Sauté the bell pepper, green peas, and long green beans for 45 seconds. Remove from the pan and set aside.
Add remaining oil. Once oil becomes hot, pan-fry chicken pieces for 3 minutes per side. Remove chicken from the pan and place on a clean plate. Set aside.
Sauté garlic, onion, and tomato using the remaining oil. Add soy sauce, tomato sauce, and water once the onion softens. Let it boil.
Add Knorr chicken cube and then put the chicken piece back into the pan. Cover the pan and continue cooking the chicken using medium heat for 15 minutes. Remove the cover and cook until the sauce becomes thick.
Add back the stir-fried vegetables.
Season with sugar, salt, and ground black pepper. Transfer to a serving plate. Serve!",chicken bell pepper julienne knorr chicken cube pea bean onion clove garlic tomato soy sauce tomato sauce water tomato ketchup teaspoon sugar salt ground pepper cooking oil sauté remove remain remove remain soften let boil cover cook remove cook stir fry transfer serve
93,Chopsuey with Chicken and Broccoli,"4 ounces chicken breast sliced, 1 piece Knorr Chicken Cube, 1 1/2 cups broccoli florets, 1 ½ cups cauliflower florets, 2 pieces carrot sliced crosswise, 12 pieces snow peas, 2 cups cabbage chopped, 1 piece red bell pepper sliced, 1 piece green bell pepper sliced, 12 pieces quail eggs boiled, 14 ounces young corn, 1 cup water, 5 cloves garlic chopped, 1 piece onion sliced, 2 tablespoons soy sauce, 2 tablespoons oyster sauce, 1 tablespoon cornstarch diluted in ¾ cup water, 3 tablespoons cooking oil, Salt and ground black pepper to taste","Heat oil on a pan. Saute onion until layers separate.
Add garlic. Continue sautéing until the onion starts to soften.
Add chicken, stir fry until the outer part turns light brown.
Pour soy sauce, oyster sauce, and water. Stir. Cover the pan and let the liquid boil.
Add Knorr Chicken Cube. Stir. Cover and cook using medium heat until the sauce reduces to half.
Add the carrot. Cook for 3 minutes.
Pour the cornstarch and water mixture. Stir.
Add your corn, cauliflower, bell pepper, broccoli, snow peas, and cabbage. Toss. Cover and cook for 1 ½ minutes.
Toss and season with ground black pepper and salt.
Add boiled quail eggs.
Transfer to a serving plate. Serve. Share and enjoy!",chicken breast knorr chicken cube broccoli floret cauliflower floret carrot slice crosswise snow pea cabbage bell pepper bell pepper quail egg corn water clove garlic onion soy sauce oyster sauce cornstarch water oil salt ground pepper,sautée start soften stir turn pour stir cover let stir cover cook reduce pour stir toss cover cook toss boil transfer serve,"4 ounces chicken breast sliced, 1 piece Knorr Chicken Cube, 1 1/2 cups broccoli florets, 1 ½ cups cauliflower florets, 2 pieces carrot sliced crosswise, 12 pieces snow peas, 2 cups cabbage chopped, 1 piece red bell pepper sliced, 1 piece green bell pepper sliced, 12 pieces quail eggs boiled, 14 ounces young corn, 1 cup water, 5 cloves garlic chopped, 1 piece onion sliced, 2 tablespoons soy sauce, 2 tablespoons oyster sauce, 1 tablespoon cornstarch diluted in ¾ cup water, 3 tablespoons cooking oil, Salt and ground black pepper to taste Heat oil on a pan. Saute onion until layers separate.
Add garlic. Continue sautéing until the onion starts to soften.
Add chicken, stir fry until the outer part turns light brown.
Pour soy sauce, oyster sauce, and water. Stir. Cover the pan and let the liquid boil.
Add Knorr Chicken Cube. Stir. Cover and cook using medium heat until the sauce reduces to half.
Add the carrot. Cook for 3 minutes.
Pour the cornstarch and water mixture. Stir.
Add your corn, cauliflower, bell pepper, broccoli, snow peas, and cabbage. Toss. Cover and cook for 1 ½ minutes.
Toss and season with ground black pepper and salt.
Add boiled quail eggs.
Transfer to a serving plate. Serve. Share and enjoy!",chicken breast knorr chicken cube broccoli floret cauliflower floret carrot slice crosswise snow pea cabbage bell pepper bell pepper quail egg corn water clove garlic onion soy sauce oyster sauce cornstarch water oil salt ground pepper sautée start soften stir turn pour stir cover let stir cover cook reduce pour stir toss cover cook toss boil transfer serve
94,No Oven Baked Macaroni Recipe,"1 lb. elbow macaroni, 1 lb. ground beef, 1 piece Knorr Beef Cube, 3 pieces hotdogs sliced crosswise, 4 ounces ham chopped, 16 ounces tomato sauce, 1 1/4 cups banana ketchup, 1 piece onion chopped, 3 cloves garlic chopped, 3 tablespoons all-purpose cream optional, 1 piece red bell pepper chopped, 1 cup cheddar cheese shredded, 1 1/2 tablespoons white sugar, 2 ½ cups water, Salt and ground black pepper to taste, 3 tablespoons cooking oil","Cook the elbow macaroni based on package instructions. Set aside.
Prepare the sauce by heating oil in a cooking pot. Add ground beef. Continue to brown the beef until enough oil gets extracted. (note: scoop off the oil).
Add onion and garlic. Continue sauteing until the onion softens.
Add hotdogs and ham.
Pour tomato sauce and water. Stir. Cover the pot and let the liquid boil.
Add Knorr Beef Cube. Continue cooking uncovered using low to medium heat until the liquid reduces to half.
Add banana ketchup and half of the chopped red bell pepper. Stir.
Add ½ cup shredded cheese and all-purpose cream. Season with sugar, salt, and ground black pepper. Stir and continue cooking until the sauce becomes thick.
Combine the cooked macaroni and sauce. Gently fold until well blended.
Arrange the macaroni with sauce on a baking tray. Top with remaining cheese and bell pepper.
Broil in 350F for 20 minutes using a turbo broiler. Serve warm. Share and enjoy!",elbow macaroni ground beef knorr beef cube ham tomato sauce banana ketchup onion clove garlic bell pepper cheddar cheese sugar water salt ground pepper oil,cook base prepare heat brown extract note scoop soften pour stir cover let uncover reduce chop stir shred stir cook combine cook fold blend arrange remain,"1 lb. elbow macaroni, 1 lb. ground beef, 1 piece Knorr Beef Cube, 3 pieces hotdogs sliced crosswise, 4 ounces ham chopped, 16 ounces tomato sauce, 1 1/4 cups banana ketchup, 1 piece onion chopped, 3 cloves garlic chopped, 3 tablespoons all-purpose cream optional, 1 piece red bell pepper chopped, 1 cup cheddar cheese shredded, 1 1/2 tablespoons white sugar, 2 ½ cups water, Salt and ground black pepper to taste, 3 tablespoons cooking oil Cook the elbow macaroni based on package instructions. Set aside.
Prepare the sauce by heating oil in a cooking pot. Add ground beef. Continue to brown the beef until enough oil gets extracted. (note: scoop off the oil).
Add onion and garlic. Continue sauteing until the onion softens.
Add hotdogs and ham.
Pour tomato sauce and water. Stir. Cover the pot and let the liquid boil.
Add Knorr Beef Cube. Continue cooking uncovered using low to medium heat until the liquid reduces to half.
Add banana ketchup and half of the chopped red bell pepper. Stir.
Add ½ cup shredded cheese and all-purpose cream. Season with sugar, salt, and ground black pepper. Stir and continue cooking until the sauce becomes thick.
Combine the cooked macaroni and sauce. Gently fold until well blended.
Arrange the macaroni with sauce on a baking tray. Top with remaining cheese and bell pepper.
Broil in 350F for 20 minutes using a turbo broiler. Serve warm. Share and enjoy!",elbow macaroni ground beef knorr beef cube ham tomato sauce banana ketchup onion clove garlic bell pepper cheddar cheese sugar water salt ground pepper oil cook base prepare heat brown extract note scoop soften pour stir cover let uncover reduce chop stir shred stir cook combine cook fold blend arrange remain
95,Pata Estofado Recipe,"2 lbs. pork pata boiled for 15 minutes, 1 piece Knorr Pork Cube, 2 pieces banana sliced, 1 piece carrot. sliced, 8 tablespoons brown sugar, 5 tablespoons soy sauce, 5 tablespoons white vinegar, 3 cloves garlic chopped, 3 pieces dried bay leaves, 1 teaspoon whole peppercorn, 4 cups water, 4 tablespoons cooking oil","Heat oil in a pan. Add bananas and fry each side until it turns brown. Remove from the pan and set aside.
Pan fry the pork pata on the same pan for 3 minutes per side.
Add garlic directly over the oil. Stir.
Add brown sugar. Stir and continue cooking until the sugar melts.
Pour soy sauce, vinegar, and water into the pot. Cover and let boil.
Add Knorr Pork cube, whole peppercorn, and dried bay leaves. Stir. Cover the pot and continue boiling the pata in low heat until tender (around 40 minutes).
Turn the pork pata over. Cover the pot once more and boil for 30 to 40 minutes.
Add the carrot and fried bananas. Cover and cook for 5 minutes.
Transfer to a serving plate. Serve. Share and enjoy!",pork pata minute knorr pork cube banana carrot sugar soy sauce vinegar oil,fry turn remove fry stir stir cook melt pour cover let boil dry stir cover boil turn cover boil fry cover cook transfer serve,"2 lbs. pork pata boiled for 15 minutes, 1 piece Knorr Pork Cube, 2 pieces banana sliced, 1 piece carrot. sliced, 8 tablespoons brown sugar, 5 tablespoons soy sauce, 5 tablespoons white vinegar, 3 cloves garlic chopped, 3 pieces dried bay leaves, 1 teaspoon whole peppercorn, 4 cups water, 4 tablespoons cooking oil Heat oil in a pan. Add bananas and fry each side until it turns brown. Remove from the pan and set aside.
Pan fry the pork pata on the same pan for 3 minutes per side.
Add garlic directly over the oil. Stir.
Add brown sugar. Stir and continue cooking until the sugar melts.
Pour soy sauce, vinegar, and water into the pot. Cover and let boil.
Add Knorr Pork cube, whole peppercorn, and dried bay leaves. Stir. Cover the pot and continue boiling the pata in low heat until tender (around 40 minutes).
Turn the pork pata over. Cover the pot once more and boil for 30 to 40 minutes.
Add the carrot and fried bananas. Cover and cook for 5 minutes.
Transfer to a serving plate. Serve. Share and enjoy!",pork pata minute knorr pork cube banana carrot sugar soy sauce vinegar oil fry turn remove fry stir stir cook melt pour cover let boil dry stir cover boil turn cover boil fry cover cook transfer serve
96,Killer Pork Sinigang Recipe,"2 lbs. Pork belly cubed, 66 g. Knorr Sinigang sa Sampaloc Mix with Gabi, 2 pieces talong sliced, 8 pieces okra, 18 pieces string beans cut in 2-inch pieces, 5 ounces daikon radish (labanos) sliced, 1 bunch kangkong, 1 piece onion wedged, 2 pieces tomato wedged, 6 pieces shishito pepper, 8 cups water, Fish sauce and ground black pepper to taste, 3 tablespoons cooking oil","Heat oil in a cooking pot. Saute onion until layers separate. Add half of the tomato. Saute for 2 minutes.
Add pork belly. Continue sauteeing until the pork browns while adding around 1 tablespoon fish sauce.
Pour water. Cover the pot and let the liquid boil.
Add Knorr Sinigang sa Sampaloc with Gabi. Cover and adjust heat between low to medium. Cook for 30 minutes or until the pork gets tender.
Add labanos. Cover and continue cooking for 30 minutes.
Add eggplant, string beans, and okra. Cook for 5 minutes.
Add kangkong stalks and remaining tomato. Cook for 3 minutes.
Season with fish sauce (as needed) and ground black pepper.",pork belly knorr sinigang sa sampaloc mix gabi okra string bean inch daikon radish labanos bunch kangkong onion tomato shishito pepper water fish sauce ground pepper oil,separate sauteee add cover let cover get cover cook need,"2 lbs. Pork belly cubed, 66 g. Knorr Sinigang sa Sampaloc Mix with Gabi, 2 pieces talong sliced, 8 pieces okra, 18 pieces string beans cut in 2-inch pieces, 5 ounces daikon radish (labanos) sliced, 1 bunch kangkong, 1 piece onion wedged, 2 pieces tomato wedged, 6 pieces shishito pepper, 8 cups water, Fish sauce and ground black pepper to taste, 3 tablespoons cooking oil Heat oil in a cooking pot. Saute onion until layers separate. Add half of the tomato. Saute for 2 minutes.
Add pork belly. Continue sauteeing until the pork browns while adding around 1 tablespoon fish sauce.
Pour water. Cover the pot and let the liquid boil.
Add Knorr Sinigang sa Sampaloc with Gabi. Cover and adjust heat between low to medium. Cook for 30 minutes or until the pork gets tender.
Add labanos. Cover and continue cooking for 30 minutes.
Add eggplant, string beans, and okra. Cook for 5 minutes.
Add kangkong stalks and remaining tomato. Cook for 3 minutes.
Season with fish sauce (as needed) and ground black pepper.",pork belly knorr sinigang sa sampaloc mix gabi okra string bean inch daikon radish labanos bunch kangkong onion tomato shishito pepper water fish sauce ground pepper oil separate sauteee add cover let cover get cover cook need
97,Pork Chao Fan Recipe,"6 ounces ground pork or grilled pork belly, 4 cups rice leftover, ½ cup carrot chopped, ¾ cup green peas, 1 piece onion minced, 2 pieces eggs beaten, ½ cup green onions chopped, 2 tablespoons hoisin sauce, 1 tablespoon soy sauce, 1 teaspoon Sesame oil, Salt and ground white pepper to taste, 5 tablespoons cooking oil","Heat oil in a wok. Add beaten eggs. Fry until eggs are fully cooked. Remove eggs from the pan. Set aside.
Sauté onion using remaining oil until it softens.
Add ground pork. Cook while stirring until pork turns medium brown.
Pour soy sauce, Sesame oil, and hoisin sauce into the wok. Stir.
Add carrots and leftover rice. Stir-fry for 2 minutes. Toss until all ingredients are well distributed.
Add green peas and green onions. Cook for 1 minute.
Add the chopped fried egg and then season with salt and ground white pepper.
Serve warm. Share and enjoy!",ground pork grill pork belly rice leftover carrot pea onion egg onion hoisin sauce soy sauce teaspoon sesame oil salt ground pepper oil,cook remove remain soften stir turn pour stir toss distribute chop fry season,"6 ounces ground pork or grilled pork belly, 4 cups rice leftover, ½ cup carrot chopped, ¾ cup green peas, 1 piece onion minced, 2 pieces eggs beaten, ½ cup green onions chopped, 2 tablespoons hoisin sauce, 1 tablespoon soy sauce, 1 teaspoon Sesame oil, Salt and ground white pepper to taste, 5 tablespoons cooking oil Heat oil in a wok. Add beaten eggs. Fry until eggs are fully cooked. Remove eggs from the pan. Set aside.
Sauté onion using remaining oil until it softens.
Add ground pork. Cook while stirring until pork turns medium brown.
Pour soy sauce, Sesame oil, and hoisin sauce into the wok. Stir.
Add carrots and leftover rice. Stir-fry for 2 minutes. Toss until all ingredients are well distributed.
Add green peas and green onions. Cook for 1 minute.
Add the chopped fried egg and then season with salt and ground white pepper.
Serve warm. Share and enjoy!",ground pork grill pork belly rice leftover carrot pea onion egg onion hoisin sauce soy sauce teaspoon sesame oil salt ground pepper oil cook remove remain soften stir turn pour stir toss distribute chop fry season
98,Baked Macaroni Recipe,"1 lb elbow macaroni uncooked, 3 tablespoon butter, 1 lb ground beef, 1 ½ cup tomatoes diced (in can), 1 piece onions diced, 1/2 cup green bell pepper diced, 1/2 cup tomato paste, 1 teaspoon paprika, 1 piece beef cube, 1 cup water, 1 tablespoon sugar, Salt and pepper to taste, 3 tbsp butter, 3 tbsp all-purpose flour, 2 cups fresh milk, 1/4 teaspoon salt, 1 ounce parmesan cheese grated, 2 ounces sharp cheddar cheese grated","Prepare the elbow macaroni according to instructions in the package and intentionally cut the cooking time so that the macaroni is not well done (the macaroni will be fully cooked once baked) then drain and set aside.
Prepare the meat sauce by heating a cooking pot and melt-in the butter.
When the butter is hot enough, add the ground beef and cook for 5 minutes or until the color turns medium brown.
Add the onion, green bell pepper, and diced tomatoes then stir and simmer for 3 minutes or until the vegetables are soft.
Add the tomato paste and paprika then stir and cook for a minute
Add the beef cube and water then stir until everything is well distributed. Simmer for 20 minutes.
Put-in the sugar, salt, and pepper then mix well. Turn of the heat and set aside.
Prepare the Mornay sauce by melting the butter in a sauce pan over medium heat.
Add the flour stir constantly for about a minute (color must be yellowish and not brown).
Slowly whisk in the milk and continue to whisk until the sauce thickens and comes to a boil.
Add salt and pepper then simmer for 2 to 3 minutes.
Stir in the cheeses and whisk until melted. Set aside
Combine the cooked macaroni and meat sauce in a baking dish then toss until the meat sauce is well distributed.
Arrange the macaroni and pour the Mornay sauce over it. (Spread the Mornay sauce over the macaroni and meat sauce mixture ensuring that every space is covered)
Preheat oven to 350 degrees Fahrenheit and bake for about 15 to 20 minutes.
Remove from the oven and allow to cool down a bit.
Serve hot. Share and Enjoy!",butter ground beef tomato onion bell pepper tbsp purpose flour milk teaspoon salt parmesan cheese,prepare accord cut cook bake drain prepare heat melt cook turn dice stir simmer stir cook stir distribute mix turn prepare melt stir whisk whisk thicken come simmer stir whisk melt combine toss distribute arrange pour spread ensure cover bake remove allow cool,"1 lb elbow macaroni uncooked, 3 tablespoon butter, 1 lb ground beef, 1 ½ cup tomatoes diced (in can), 1 piece onions diced, 1/2 cup green bell pepper diced, 1/2 cup tomato paste, 1 teaspoon paprika, 1 piece beef cube, 1 cup water, 1 tablespoon sugar, Salt and pepper to taste, 3 tbsp butter, 3 tbsp all-purpose flour, 2 cups fresh milk, 1/4 teaspoon salt, 1 ounce parmesan cheese grated, 2 ounces sharp cheddar cheese grated Prepare the elbow macaroni according to instructions in the package and intentionally cut the cooking time so that the macaroni is not well done (the macaroni will be fully cooked once baked) then drain and set aside.
Prepare the meat sauce by heating a cooking pot and melt-in the butter.
When the butter is hot enough, add the ground beef and cook for 5 minutes or until the color turns medium brown.
Add the onion, green bell pepper, and diced tomatoes then stir and simmer for 3 minutes or until the vegetables are soft.
Add the tomato paste and paprika then stir and cook for a minute
Add the beef cube and water then stir until everything is well distributed. Simmer for 20 minutes.
Put-in the sugar, salt, and pepper then mix well. Turn of the heat and set aside.
Prepare the Mornay sauce by melting the butter in a sauce pan over medium heat.
Add the flour stir constantly for about a minute (color must be yellowish and not brown).
Slowly whisk in the milk and continue to whisk until the sauce thickens and comes to a boil.
Add salt and pepper then simmer for 2 to 3 minutes.
Stir in the cheeses and whisk until melted. Set aside
Combine the cooked macaroni and meat sauce in a baking dish then toss until the meat sauce is well distributed.
Arrange the macaroni and pour the Mornay sauce over it. (Spread the Mornay sauce over the macaroni and meat sauce mixture ensuring that every space is covered)
Preheat oven to 350 degrees Fahrenheit and bake for about 15 to 20 minutes.
Remove from the oven and allow to cool down a bit.
Serve hot. Share and Enjoy!",butter ground beef tomato onion bell pepper tbsp purpose flour milk teaspoon salt parmesan cheese prepare accord cut cook bake drain prepare heat melt cook turn dice stir simmer stir cook stir distribute mix turn prepare melt stir whisk whisk thicken come simmer stir whisk melt combine toss distribute arrange pour spread ensure cover bake remove allow cool
